Region name,School status,Schools details,num_ord,Local Health Area
City Of Calgary,Outbreak (5-9 cases),Fish Creek School,2,Fish Creek
City Of Calgary,Outbreak (5-9 cases),McKenzie Highlands School,2,Eastwood
City Of Calgary,Outbreak (5-9 cases),Calgary Jewish Academy,2,Elbow
City Of Calgary,Outbreak (5-9 cases),West Dalhousie School,2,Upper NW
City Of Calgary,Outbreak (5-9 cases),Riverbend School,2,SE
City Of Calgary,Outbreak (5-9 cases),St. Alphonsus Elementary Junior High School,2,Bonnie Doon
City Of Calgary,Outbreak (5-9 cases),Bob Edwards School,2,Lower NE
City Of Calgary,Outbreak (5-9 cases),Saddle Ridge School,2,Upper NE
City Of Calgary,Outbreak (5-9 cases),James Short Memorial School,2,East
City Of Calgary,Outbreak (5-9 cases),West Dover School,2,East
City Of Edmonton,Outbreak (10+ cases),Belvedere School,1,NE
City Of Edmonton,Outbreak (10+ cases),Jasper Place School,1,Jasper Place
City Of Edmonton,Outbreak (10+ cases),Aurora School,1,Woodcroft East
City Of Edmonton,Outbreak (10+ cases),St. Alphonsus,1,Eastwood
City Of Edmonton,Outbreak (10+ cases),Baturyn School,1,Castle Downs
City Of Edmonton,Outbreak (10+ cases),St. Kateri Catholic School,1,Mill Woods South & East
City Of Edmonton,Outbreak (10+ cases),Major General Griesbach School,1,Castle Downs
City Of Edmonton,Outbreak (10+ cases),St. Pius X,1,Woodcroft East
City Of Edmonton,Outbreak (10+ cases),Edmonton Christian West School,1,Woodcroft West
City Of Edmonton,Outbreak (10+ cases),Archbishop Joseph MacNeil,1,Twin Brooks
City Of Edmonton,Outbreak (5-9 cases),Archbishop O'Leary,2,Northgate
City Of Edmonton,Outbreak (5-9 cases),St. John XXIII School,2,Rutherford
City Of Edmonton,Outbreak (5-9 cases),Monsignor Fee Otterson Catholic Elementary/Junior High School,2,Rutherford
City Of Edmonton,Outbreak (5-9 cases),Coronation School,2,Woodcroft West
City Of Edmonton,Outbreak (5-9 cases),Glengarry School,2,Northgate
City Of Edmonton,Outbreak (5-9 cases),Progressive Academy,2,Woodcroft West
City Of Edmonton,Outbreak (5-9 cases),Bishop David Motiuk School,2,West Jasper Place
City Of Edmonton,Outbreak (5-9 cases),St. Matthew,2,Northgate
City Of Edmonton,Outbreak (5-9 cases),MAC Islamic School,2,Woodcroft East
City Of Edmonton,Outbreak (5-9 cases),Donald R. Getty School,2,Woodcroft West
City Of Edmonton,Outbreak (5-9 cases),Lymburn School,2,West Jasper Place
City Of Edmonton,Outbreak (5-9 cases),Father Michael Mireau School,2,Rutherford
City Of Edmonton,Outbreak (5-9 cases),Elizabeth Finch School,2,Castle Downs
City Of Edmonton,Outbreak (5-9 cases),Christ the King School,2,NE
City Of Edmonton,Outbreak (5-9 cases),Prince Charles School,2,Woodcroft East
City Of Edmonton,Outbreak (5-9 cases),Ecole Pere-Lacombe,2,Northgate
City Of Edmonton,Outbreak (5-9 cases),Corpus Christi School,2,Rutherford
City Of Edmonton,Outbreak (5-9 cases),Michael A Kostek Elementary School,2,West Jasper Place
City Of Edmonton,Outbreak (5-9 cases),Daly Grove School,2,Mill Woods South & East
City Of Edmonton,Outbreak (5-9 cases),Roberta MacAdams School,2,Rutherford
City Of Edmonton,Outbreak (5-9 cases),Monsignor William Irwin Catholic Elementary School,2,Twin Brooks
City Of Edmonton,Outbreak (5-9 cases),George H Luck School,2,Twin Brooks
City Of Edmonton,Outbreak (5-9 cases),McArthur School,2,Woodcroft East
City Of Edmonton,Outbreak (5-9 cases),St. Richard,2,Mill Woods West
City Of Edmonton,Outbreak (5-9 cases),Patricia Heights School,2,West Jasper Place
City Of Edmonton,Outbreak (5-9 cases),Youngstown School,2,Oyen
City Of Edmonton,Outbreak (5-9 cases),Scott Robertson School,2,Northgate
City Of Edmonton,Outbreak (5-9 cases),Johnny Bright School,2,Rutherford
City Of Edmonton,Outbreak (5-9 cases),Winterburn School,2,West Jasper Place
City Of Edmonton,Outbreak (5-9 cases),St. Bonaventure,2,NE
City Of Edmonton,Outbreak (5-9 cases),St. Augustine,2,Duggan
City Of Edmonton,Outbreak (5-9 cases),Dr. Margaret-Ann Armour School,2,Rutherford
City Of Edmonton,Outbreak (5-9 cases),Greenfield School,2,Duggan
City Of Edmonton,Outbreak (5-9 cases),Steinhauer School,2,Duggan
