date,local_code,location_name,zone_name,population,age_group,dose_1,dose_2,total_doses_administered,percent_pop_1_plus_dose,percent_pop_fully_immunized
2021/05/16,Z2.1.F.06,CALGARY - CENTRE NORTH,CALGARY,6537,60-74 years,5117,756,5873,78.3,11.6
2021/05/16,Z2.1.F.06,CALGARY - CENTRE NORTH,CALGARY,3007,75+ years,2592,2320,4912,86.2,77.1
2021/05/16,Z2.1.F.06,CALGARY - CENTRE NORTH,CALGARY,45414,All age years,23293,4217,27510,51.3,9.3
2021/05/16,Z2.2.A.01,CALGARY - UPPER NE,CALGARY,7779,12-19 years,1744,23,1767,22.4,0.3
2021/05/16,Z2.2.A.01,CALGARY - UPPER NE,CALGARY,44857,20-39 years,11329,1070,12399,25.3,2.4
2021/05/16,Z2.2.A.01,CALGARY - UPPER NE,CALGARY,29656,40-59 years,15247,1216,16463,51.4,4.1
2021/05/16,Z2.2.A.01,CALGARY - UPPER NE,CALGARY,11824,60-74 years,9116,623,9739,77.1,5.3
2021/05/16,Z2.2.A.01,CALGARY - UPPER NE,CALGARY,3380,75+ years,2564,1858,4422,75.8,55
2021/05/16,Z2.2.A.01,CALGARY - UPPER NE,CALGARY,125654,All age years,40032,4790,44822,31.9,3.8
2021/05/16,Z2.2.B.02,CALGARY - LOWER NE,CALGARY,5785,12-19 years,1031,19,1050,17.8,0.3
2021/05/16,Z2.2.B.02,CALGARY - LOWER NE,CALGARY,28657,20-39 years,6437,512,6949,22.5,1.8
2021/05/16,Z2.2.B.02,CALGARY - LOWER NE,CALGARY,25149,40-59 years,11863,773,12636,47.2,3.1
2021/05/16,Z2.2.B.02,CALGARY - LOWER NE,CALGARY,14007,60-74 years,11021,1001,12022,78.7,7.1
2021/05/16,Z2.2.B.02,CALGARY - LOWER NE,CALGARY,4576,75+ years,3928,3204,7132,85.8,70
2021/05/16,Z2.2.B.02,CALGARY - LOWER NE,CALGARY,96631,All age years,34305,5509,39814,35.5,5.7
2021/05/16,Z2.3.A.01,CALGARY - EAST,CALGARY,4124,12-19 years,595,6,601,14.4,0.1
2021/05/16,Z2.3.A.01,CALGARY - EAST,CALGARY,21176,20-39 years,4428,337,4765,20.9,1.6
2021/05/16,Z2.3.A.01,CALGARY - EAST,CALGARY,20685,40-59 years,9248,527,9775,44.7,2.5
2021/05/16,Z2.3.A.01,CALGARY - EAST,CALGARY,11080,60-74 years,8143,688,8831,73.5,6.2
2021/05/16,Z2.3.A.01,CALGARY - EAST,CALGARY,3557,75+ years,2917,2366,5283,82,66.5
2021/05/16,Z2.3.A.01,CALGARY - EAST,CALGARY,72591,All age years,25337,3924,29261,34.9,5.4
2021/05/16,Z2.3.B.02,CALGARY - SE,CALGARY,7432,12-19 years,2210,22,2232,29.7,0.3
2021/05/16,Z2.3.B.02,CALGARY - SE,CALGARY,41476,20-39 years,14187,1524,15711,34.2,3.7
2021/05/16,Z2.3.B.02,CALGARY - SE,CALGARY,38943,40-59 years,23014,1555,24569,59.1,4
2021/05/16,Z2.3.B.02,CALGARY - SE,CALGARY,15419,60-74 years,12401,1190,13591,80.4,7.7
2021/05/16,Z2.3.B.02,CALGARY - SE,CALGARY,4263,75+ years,3724,3424,7148,87.4,80.3
2021/05/16,Z2.3.B.02,CALGARY - SE,CALGARY,138537,All age years,55639,7715,63354,40.2,5.6
2021/05/16,Z2.4.A.01,CALGARY - WEST,CALGARY,6217,12-19 years,2514,21,2535,40.4,0.3
2021/05/16,Z2.4.A.01,CALGARY - WEST,CALGARY,22214,20-39 years,9373,671,10044,42.2,3
2021/05/16,Z2.4.A.01,CALGARY - WEST,CALGARY,28211,40-59 years,18832,1117,19949,66.8,4
2021/05/16,Z2.4.A.01,CALGARY - WEST,CALGARY,13870,60-74 years,11186,1472,12658,80.6,10.6
2021/05/16,Z2.4.A.01,CALGARY - WEST,CALGARY,5221,75+ years,4567,4187,8754,87.5,80.2
2021/05/16,Z2.4.A.01,CALGARY - WEST,CALGARY,93211,All age years,46578,7468,54046,50,8
2021/05/16,Z2.4.B.02,CALGARY - CENTRE,CALGARY,1390,12-19 years,365,1,366,26.3,0.1
2021/05/16,Z2.4.B.02,CALGARY - CENTRE,CALGARY,33047,20-39 years,12152,836,12988,36.8,2.5
2021/05/16,Z2.4.B.02,CALGARY - CENTRE,CALGARY,17260,40-59 years,9035,348,9383,52.3,2
2021/05/16,Z2.4.B.02,CALGARY - CENTRE,CALGARY,8169,60-74 years,5828,692,6520,71.3,8.5
2021/05/16,Z2.4.B.02,CALGARY - CENTRE,CALGARY,2988,75+ years,2285,1918,4203,76.5,64.2
2021/05/16,Z2.4.B.02,CALGARY - CENTRE,CALGARY,69057,All age years,29671,3795,33466,43,5.5
2021/05/16,Z2.4.C.03,CALGARY - CENTRE WEST,CALGARY,2940,12-19 years,1078,8,1086,36.7,0.3
2021/05/16,Z2.4.C.03,CALGARY - CENTRE WEST,CALGARY,21123,20-39 years,8992,851,9843,42.6,4
2021/05/16,Z2.4.C.03,CALGARY - CENTRE WEST,CALGARY,18494,40-59 years,12038,712,12750,65.1,3.8
2021/05/16,Z2.4.C.03,CALGARY - CENTRE WEST,CALGARY,8966,60-74 years,7149,1044,8193,79.7,11.6
2021/05/16,Z2.4.C.03,CALGARY - CENTRE WEST,CALGARY,3869,75+ years,3480,3123,6603,89.9,80.7
2021/05/16,Z2.4.C.03,CALGARY - CENTRE WEST,CALGARY,66463,All age years,32779,5738,38517,49.3,8.6
2021/05/16,Z2.4.D.04,CALGARY - ELBOW,CALGARY,1877,12-19 years,841,8,849,44.8,0.4
2021/05/16,Z2.4.D.04,CALGARY - ELBOW,CALGARY,11893,20-39 years,4714,331,5045,39.6,2.8
2021/05/16,Z2.4.D.04,CALGARY - ELBOW,CALGARY,10652,40-59 years,6811,495,7306,63.9,4.6
2021/05/16,Z2.4.D.04,CALGARY - ELBOW,CALGARY,7583,60-74 years,6191,1175,7366,81.6,15.5
2021/05/16,Z2.4.D.04,CALGARY - ELBOW,CALGARY,3832,75+ years,3276,3044,6320,85.5,79.4
2021/05/16,Z2.4.D.04,CALGARY - ELBOW,CALGARY,41000,All age years,21855,5053,26908,53.3,12.3
2021/05/16,Z2.4.E.05,CALGARY - FISH CREEK,CALGARY,5464,12-19 years,1430,16,1446,26.2,0.3
2021/05/16,Z2.4.E.05,CALGARY - FISH CREEK,CALGARY,30543,20-39 years,10118,766,10884,33.1,2.5
2021/05/16,Z2.4.E.05,CALGARY - FISH CREEK,CALGARY,29766,40-59 years,17968,983,18951,60.4,3.3
2021/05/16,Z2.4.E.05,CALGARY - FISH CREEK,CALGARY,20793,60-74 years,17047,1873,18920,82,9
2021/05/16,Z2.4.E.05,CALGARY - FISH CREEK,CALGARY,8203,75+ years,7245,6488,13733,88.3,79.1
2021/05/16,Z2.4.E.05,CALGARY - FISH CREEK,CALGARY,111466,All age years,53862,10126,63988,48.3,9.1
2021/05/16,Z2.4.F.06,CALGARY - SW,CALGARY,7799,12-19 years,2284,37,2321,29.3,0.5
2021/05/16,Z2.4.F.06,CALGARY - SW,CALGARY,32217,20-39 years,10815,1084,11899,33.6,3.4
2021/05/16,Z2.4.F.06,CALGARY - SW,CALGARY,35029,40-59 years,20700,1667,22367,59.1,4.8
2021/05/16,Z2.4.F.06,CALGARY - SW,CALGARY,15660,60-74 years,12671,1280,13951,80.9,8.2
2021/05/16,Z2.4.F.06,CALGARY - SW,CALGARY,5845,75+ years,5169,4712,9881,88.4,80.6
2021/05/16,Z2.4.F.06,CALGARY - SW,CALGARY,118678,All age years,51700,8780,60480,43.6,7.4
2021/05/16,Z2.5.A.01,OKOTOKS-PRIDDIS,CALGARY,3452,12-19 years,773,15,788,22.4,0.4
2021/05/16,Z2.5.A.01,OKOTOKS-PRIDDIS,CALGARY,10373,20-39 years,2761,252,3013,26.6,2.4
2021/05/16,Z2.5.A.01,OKOTOKS-PRIDDIS,CALGARY,13508,40-59 years,7311,399,7710,54.1,3
2021/05/16,Z2.5.A.01,OKOTOKS-PRIDDIS,CALGARY,8412,60-74 years,6439,546,6985,76.5,6.5
2021/05/16,Z2.5.A.01,OKOTOKS-PRIDDIS,CALGARY,2636,75+ years,2285,2075,4360,86.7,78.7
2021/05/16,Z2.5.A.01,OKOTOKS-PRIDDIS,CALGARY,46994,All age years,19595,3287,22882,41.7,7
2021/05/16,Z2.5.B.02,BLACK DIAMOND,CALGARY,465,12-19 years,58,2,60,12.5,0.4
2021/05/16,Z2.5.B.02,BLACK DIAMOND,CALGARY,1783,20-39 years,364,43,407,20.4,2.4
2021/05/16,Z2.5.B.02,BLACK DIAMOND,CALGARY,2341,40-59 years,990,71,1061,42.3,3
2021/05/16,Z2.5.B.02,BLACK DIAMOND,CALGARY,2139,60-74 years,1514,124,1638,70.8,5.8
2021/05/16,Z2.5.B.02,BLACK DIAMOND,CALGARY,724,75+ years,604,457,1061,83.4,63.1
2021/05/16,Z2.5.B.02,BLACK DIAMOND,CALGARY,8875,All age years,3531,697,4228,39.8,7.9
2021/05/16,Z2.5.B.03,HIGH RIVER,CALGARY,1525,12-19 years,242,9,251,15.9,0.6
2021/05/16,Z2.5.B.03,HIGH RIVER,CALGARY,5174,20-39 years,1183,107,1290,22.9,2.1
2021/05/16,Z2.5.B.03,HIGH RIVER,CALGARY,6115,40-59 years,2871,196,3067,47,3.2
2021/05/16,Z2.5.B.03,HIGH RIVER,CALGARY,4868,60-74 years,3484,325,3809,71.6,6.7
2021/05/16,Z2.5.B.03,HIGH RIVER,CALGARY,2379,75+ years,2026,1718,3744,85.2,72.2
2021/05/16,Z2.5.B.03,HIGH RIVER,CALGARY,23993,All age years,9812,2355,12167,40.9,9.8
2021/05/16,Z2.5.C.04,CLARESHOLM,CALGARY,266,12-19 years,30,0,30,11.3,0
2021/05/16,Z2.5.C.04,CLARESHOLM,CALGARY,1257,20-39 years,253,30,283,20.1,2.4
2021/05/16,Z2.5.C.04,CLARESHOLM,CALGARY,1502,40-59 years,613,67,680,40.8,4.5
2021/05/16,Z2.5.C.04,CLARESHOLM,CALGARY,1530,60-74 years,1137,123,1260,74.3,8
2021/05/16,Z2.5.C.04,CLARESHOLM,CALGARY,831,75+ years,700,554,1254,84.2,66.6
2021/05/16,Z2.5.C.04,CLARESHOLM,CALGARY,6267,All age years,2737,774,3511,43.7,12.3
2021/05/16,Z2.5.C.05,VULCAN,CALGARY,457,12-19 years,65,2,67,14.2,0.4
2021/05/16,Z2.5.C.05,VULCAN,CALGARY,1488,20-39 years,281,26,307,18.9,1.7
2021/05/16,Z2.5.C.05,VULCAN,CALGARY,1515,40-59 years,625,56,681,41.3,3.7
2021/05/16,Z2.5.C.05,VULCAN,CALGARY,1496,60-74 years,1033,86,1119,69,5.7
2021/05/16,Z2.5.C.05,VULCAN,CALGARY,679,75+ years,546,410,956,80.4,60.4
2021/05/16,Z2.5.C.05,VULCAN,CALGARY,6837,All age years,2552,580,3132,37.3,8.5
2021/05/16,Z2.6.A.01,AIRDRIE,CALGARY,4571,12-19 years,903,6,909,19.8,0.1
2021/05/16,Z2.6.A.01,AIRDRIE,CALGARY,22157,20-39 years,5811,466,6277,26.2,2.1
2021/05/16,Z2.6.A.01,AIRDRIE,CALGARY,20294,40-59 years,10344,525,10869,51,2.6
2021/05/16,Z2.6.A.01,AIRDRIE,CALGARY,8824,60-74 years,6824,370,7194,77.3,4.2
2021/05/16,Z2.6.A.01,AIRDRIE,CALGARY,2222,75+ years,1811,1522,3333,81.5,68.5
2021/05/16,Z2.6.A.01,AIRDRIE,CALGARY,76018,All age years,25738,2889,28627,33.9,3.8
2021/05/16,Z2.6.B.02,CHESTERMERE,CALGARY,1807,12-19 years,490,4,494,27.1,0.2
2021/05/16,Z2.6.B.02,CHESTERMERE,CALGARY,6562,20-39 years,2030,158,2188,30.9,2.4
2021/05/16,Z2.6.B.02,CHESTERMERE,CALGARY,7295,40-59 years,4021,211,4232,55.1,2.9
2021/05/16,Z2.6.B.02,CHESTERMERE,CALGARY,3610,60-74 years,2783,226,3009,77.1,6.3
2021/05/16,Z2.6.B.02,CHESTERMERE,CALGARY,1145,75+ years,1009,878,1887,88.1,76.7
2021/05/16,Z2.6.B.02,CHESTERMERE,CALGARY,25681,All age years,10344,1477,11821,40.3,5.8
2021/05/16,Z2.6.C.03,STRATHMORE,CALGARY,2500,12-19 years,612,32,644,24.5,1.3
2021/05/16,Z2.6.C.03,STRATHMORE,CALGARY,8802,20-39 years,2524,501,3025,28.7,5.7
2021/05/16,Z2.6.C.03,STRATHMORE,CALGARY,9970,40-59 years,5138,720,5858,51.5,7.2
2021/05/16,Z2.6.C.03,STRATHMORE,CALGARY,5565,60-74 years,4089,590,4679,73.5,10.6
2021/05/16,Z2.6.C.03,STRATHMORE,CALGARY,1971,75+ years,1663,1383,3046,84.4,70.2
2021/05/16,Z2.6.C.03,STRATHMORE,CALGARY,35924,All age years,14066,3226,17292,39.2,9
2021/05/16,Z2.6.C.04,CROSSFIELD,CALGARY,526,12-19 years,134,4,138,25.5,0.8
2021/05/16,Z2.6.C.04,CROSSFIELD,CALGARY,2287,20-39 years,439,19,458,19.2,0.8
2021/05/16,Z2.6.C.04,CROSSFIELD,CALGARY,2618,40-59 years,1131,38,1169,43.2,1.5
2021/05/16,Z2.6.C.04,CROSSFIELD,CALGARY,1866,60-74 years,1218,79,1297,65.3,4.2
